k,y_pred
2579,3.0213193209169344
2580,3.021583149872282
2581,3.0218462422172943
2582,3.0221086000085875
2583,3.0223702252970353
2584,3.022631120127785
2585,3.0228912865402746
2586,3.023150726568247
2587,3.0234094422397684
2588,3.023667435577241
2589,3.0239247085974212
2590,3.024181263311435
2591,3.0244371017247924
2592,3.0246922258374047
2593,3.0249466376435996
2594,3.025200339132136
2595,3.0254533322862205
2596,3.025705619083523
2597,3.025957201496191
2598,3.026208081490866
2599,3.026458261028699
2600,3.026707742065365
2601,3.0269565265510794
2602,3.0272046164306117
2603,3.0274520136433023
2604,3.0276987201230767
2605,3.0279447377984607
2606,3.028190068592596
2607,3.028434714423255
2608,3.0286786772028553
2609,3.0289219588384753
2610,3.0291645612318683
2611,3.0294064862794787
2612,3.0296477358724556
2613,3.0298883118966677
2614,3.030128216232719
2615,3.0303674507559633
2616,3.0306060173365164
2617,3.0308439178392748
2618,3.031081154123927
2619,3.0313177280449697
2620,3.031553641451722
2621,3.03178889618834
2622,3.03202349409383
2623,3.032257437002064
2624,3.0324907267417944
2625,3.0327233651366674
2626,3.0329553540052374
2627,3.0331866951609814
2628,3.0334173904123136
2629,3.033647441562599
2630,3.0338768504101674
2631,3.0341056187483275
2632,3.0343337483653814
2633,3.034561241044638
2634,3.034788098564428
2635,3.0350143226981157
2636,3.035239915214115
2637,3.0354648778759024
2638,3.0356892124420303
2639,3.0359129206661417
2640,3.0361360042969836
2641,3.0363584650784197
2642,3.0365803047494455
2643,3.0368015250442006
2644,3.037022127691984
2645,3.037242114417265
2646,3.0374614869396996
2647,3.0376802469741415
2648,3.0378983962306574
2649,3.0381159364145387
2650,3.038332869226316
2651,3.0385491963617715
2652,3.0387649195119537
2653,3.0389800403631893
2654,3.0391945605970965
2655,3.039408481890599
2656,3.039621805915938
2657,3.0398345343406854
2658,3.0400466688277588
2659,3.040258211035431
2660,3.0404691626173466
2661,3.040679525222532
2662,3.0408893004954103
2663,3.0410984900758127
2664,3.0413070955989925
2665,3.0415151186956373
2666,3.041722560991882
2667,3.04192942410932
2668,3.0421357096650197
2669,3.0423414192715326
2670,3.0425465545369086
2671,3.0427511170647077
2672,3.0429551084540134
2673,3.043158530299444
2674,3.0433613841911655
2675,3.043563671714905
2676,3.043765394451961
2677,3.043966553979218
2678,3.0441671518691575
2679,3.0443671896898707
2680,3.0445666690050706
2681,3.0447655913741043
2682,3.0449639583519654
2683,3.045161771489306
2684,3.045359032332448
2685,3.0455557424233977
2686,3.0457519032998537
2687,3.0459475164952234
2688,3.0461425835386318
2689,3.0463371059549353
2690,3.0465310852647325
2691,3.0467245229843765
2692,3.0469174206259866
2693,3.04710977969746
2694,3.0473016017024857
2695,3.047492888140552
2696,3.0476836405069614
2697,3.0478738602928424
2698,3.048063548985159
2699,3.048252708066725
2700,3.048441339016213
2701,3.048629443308167
2702,3.0488170224130156
2703,3.0490040777970804
2704,3.0491906109225897
2705,3.049376623247689
2706,3.0495621162264532
2707,3.049747091308897
2708,3.0499315499409865
2709,3.050115493564651
2710,3.0502989236177935
2711,3.050481841534303
2712,3.050664248744065
2713,3.0508461466729724
2714,3.0510275367429367
2715,3.0512084203719003
2716,3.051388798973846
2717,3.0515686739588093
2718,3.051748046732888
2719,3.0519269186982556
2720,3.052105291253169
2721,3.052283165791983
2722,3.0524605437051573
2723,3.052637426379271
2724,3.0528138151970308
2725,3.052989711537284
2726,3.0531651167750278
2727,3.0533400322814197
2728,3.0535144594237895
2729,3.0536883995656496
2730,3.053861854066705
2731,3.0540348242828648
2732,3.054207311566252
2733,3.0543793172652145
2734,3.0545508427243364
2735,3.054721889284447
2736,3.0548924582826325
2737,3.0550625510522447
2738,3.055232168922914
2739,3.055401313220558
2740,3.0555699852673928
2741,3.0557381863819417
2742,3.055905917879048
2743,3.056073181069883
2744,3.056239977261958
2745,3.0564063077591337
2746,3.056572173861629
2747,3.0567375768660345
